exchange;first_currency;second_currency;exchange_pair_id;time;open;high;low;close;volume;market_cap
BEQUANT;BTC;USDB;2;2026-01-26 00:00:00+00:00;87881.03;87881.03;87881.03;87881.03;5e-05;
BEQUANT;BTC;USDB;2;2025-12-15 00:00:00+00:00;85333.78;85333.78;85333.78;85333.78;0.00022;
BEQUANT;BTC;USDB;2;2025-11-17 00:00:00+00:00;84683.02;86571.11;83670.27;86442.65;0.2875;
BEQUANT;BTC;USDB;2;2025-10-27 00:00:00+00:00;109928.89;110922.78;109928.89;110809.68;0.18466;
BEQUANT;BTC;USDB;2;2025-10-20 00:00:00+00:00;108686.11;108686.11;108686.11;108686.11;0.01888;
BEQUANT;BTC;USDB;2;2025-10-06 00:00:00+00:00;123600.28;124762.98;103314.06;112126.96;2.77054;
BEQUANT;BTC;USDB;2;2025-09-29 00:00:00+00:00;123575.15;125602.27;121529.93;123309.62;5.11819;
BEQUANT;BTC;USDB;2;2025-09-01 00:00:00+00:00;110742.81;110747.4;110742.81;110742.81;0.02786;
BEQUANT;BTC;USDB;2;2025-08-11 00:00:00+00:00;119656.56;119806.02;117494.98;118321.69;0.08324;
BEQUANT;BTC;USDB;2;2025-07-14 00:00:00+00:00;118751.22;119587.6;117905.65;117905.65;0.43816;
BEQUANT;BTC;USDB;2;2025-07-07 00:00:00+00:00;117707.02;117707.02;117279.61;117481.68;0.6145;
BEQUANT;BTC;USDB;2;2025-06-09 00:00:00+00:00;106012.06;106255.25;104934.74;105495.44;0.08453;
BEQUANT;BTC;USDB;2;2025-05-26 00:00:00+00:00;104421.26;104421.26;104421.26;104421.26;0.01514;
BEQUANT;BTC;USDB;2;2025-05-12 00:00:00+00:00;103945.29;103945.29;103945.29;103945.29;0.00236;
BEQUANT;BTC;USDB;2;2025-04-21 00:00:00+00:00;89440.48;94774.04;89440.48;94774.04;0.58014;
BEQUANT;BTC;USDB;2;2025-04-07 00:00:00+00:00;77722.11;83092.77;77722.1;83092.77;0.48885;
BEQUANT;BTC;USDB;2;2025-03-03 00:00:00+00:00;83176.42;83213.78;83176.37;83184.74;0.50846;
BEQUANT;BTC;USDB;2;2025-02-24 00:00:00+00:00;86589.28;92956.46;86589.28;92876.29;0.7616;
BEQUANT;BTC;USDB;2;2025-02-17 00:00:00+00:00;96182.72;96900.8;95514.63;96900.8;6.44975;
BEQUANT;BTC;USDB;2;2025-02-03 00:00:00+00:00;96696.85;100701.74;93129.16;98650.05;0.75979;
BEQUANT;BTC;USDB;2;2025-01-20 00:00:00+00:00;100847.76;106573.6;100096.92;104405.83;0.50576;
BEQUANT;BTC;USDB;2;2025-01-13 00:00:00+00:00;96832.57;105505.31;96572.67;101666.01;0.62864;
BEQUANT;BTC;USDB;2;2024-12-16 00:00:00+00:00;106878.87;107607.5;100601.13;101064.69;0.1511;
BEQUANT;BTC;USDB;2;2024-12-09 00:00:00+00:00;98728.81;99737.01;94383.15;95244.83;0.8262;
BEQUANT;BTC;USDB;2;2024-12-02 00:00:00+00:00;97683.59;103236.36;93987.67;100715.52;0.97599;
BEQUANT;BTC;USDB;2;2024-11-25 00:00:00+00:00;98350.2;98669.02;92144.07;95403.23;0.84368;
BEQUANT;BTC;USDB;2;2024-11-18 00:00:00+00:00;91807.93;98576.91;89582.64;98566.95;0.21835;
BEQUANT;BTC;USDB;2;2024-11-11 00:00:00+00:00;81110.08;91299.67;81077.65;90797.83;0.32289;
BEQUANT;BTC;USDB;2;2024-11-04 00:00:00+00:00;67390.74;80627.72;67315.2;80627.72;0.04875;
BEQUANT;BTC;USDB;2;2024-10-28 00:00:00+00:00;71962.08;71962.08;71962.08;71962.08;0.00021;
BEQUANT;BTC;USDB;2;2024-10-21 00:00:00+00:00;69297.48;69468.64;65600.34;65868.58;0.13329;
BEQUANT;BTC;USDB;2;2024-10-14 00:00:00+00:00;64713.17;69341.1;64678.38;69036.7;0.16881;
BEQUANT;BTC;USDB;2;2024-10-07 00:00:00+00:00;61474.32;63294.85;58908.72;62574.3;0.03927;
BEQUANT;BTC;USDB;2;2024-09-30 00:00:00+00:00;63546.26;64030.34;59945.35;62592.29;0.36014;
